Docket ID,Docket Title,Agency,Docket Type,Petition Number,RIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA-HQ-OW-2018-0149,Revised Definition of “Waters of the United States” ,EPA,Rulemaking,N/A,2040-AF75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Document Type,Attachment Count,Submitter Last Name,Submitter First Name,Organization,Document ID,Posted Date,Received Date,Comment Start Date,Comment Due Date,Implementation Date,Effective Date,Related RINs,Document SubType,Subject,Abstract,Status,Source Citation,OMB Approval Number,FR Citation,Federal Register Number,Start End Page,Special Instructions,Legacy ID,Post Mark Date,File Type,Number Of Pages,Paper Width,Paper Length,Exhibit Type,Exhibit Location,Document Field_1,Document Field_2,Document Detail,,,
"Comment submitted by Ben Brubeck, Vice President of Regulatory, Labor and State Affairs, Associated Builders and Contractors (ABC)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4527,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4527,,,
"Comment submitted by Lisa Feldt, Vice President for Environmental Protection and Restoration, Chesapeake Bay Foundation, Inc. (CBF)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4878,4/22/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4878,,,
"Comment submitted by Gerald Long, President, Georgia Farm Bureau, Georgia Farm Bureau Federation",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4540,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4540,,,
"Comment submitted by Kevin Godbout, Director, Environmental Affairs, Weyerhaeuser Company",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4775,4/19/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4775,,,
Comment submitted by Pennsylvania Council of Trout Unlimited (TU),PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5442,4/25/19,4/4/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/4/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5442,,,
"Comment submitted by Edward R. Castelhano, President/Designated Broker, Southern Arizona Home Builders Association (SAHB)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8172,5/1/19,4/18/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/13/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8172,,,
"Comment submitted by Kerry B. Kates, Director of Water and Natural Resources, Florida Fruit & Vegetable Association (FFVA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4936,4/22/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4936,,,
"Comment submitted by Rob Rash, Chief Executive Officer (CEO) and Chief Engineer, St. Francis Levee District of Arkansas",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4430,4/18/19,4/11/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/11/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4430,,,
"Comment submitted by Paul Fouts, Farmer, Fouts Farm LLC",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4476,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4476,,,
"Comment submitted by C.E. (Mac) McGinley, Chair, Maine Council Trout Unlimited (TU)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5176,4/24/19,3/9/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/9/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5176,,,
"Comment submitted by Mark W Rogers, Chair,  Oregon Council Trout Unlimited (TU)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5311,4/24/19,4/1/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/1/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5311,,,
"Comment submitted by Susan Gilson, Executive Director, National Association of Flood and Stormwater Management Agencies (NAFSMA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4431,4/18/19,4/10/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/10/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4431,,,
"Comment submitted by Ivy Schwartz, President, and Melanie Mizell, Contractor-Coordinator, Community Water Coalition of Southern Arizona",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5409,4/25/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5409,,,
"Comment submitted by Ford Van Fossan, Conservation and Content Manager, First Lite LLC",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10932,5/9/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10932,,,
"Comment submitted by Marc Seelinger, Director, The Swamp School",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-3620,4/11/19,3/27/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/27/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-3620,,,
"Comment submitted by Rick Savage, President, Carolina Wetlands Association",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-7631,5/1/19,4/14/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/14/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-7631,,,
"Comment submitted by Rick Warhurst, North Dakota Chapter of The Wildlife Society",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5335,4/24/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5335,,,
Comment submitted by R. Kluge,PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10135,5/8/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10135,,,
Comment submitted by New Sweden Irrigation District,PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5239,4/24/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5239,,,
Comment submitted by American Fisheries Society et al.,PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-6851,4/29/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-6851,,,
"Comment submitted by Jeanne Wetzel Chinn, MS, Chair, Conservation Affairs Committee,  San Francisco Bay Area Chapter of The Wildlife Society (TWS)",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4171,4/16/19,4/9/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/9/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4171,,,
"Comment submitted by Clint Allen, Senior Environmental Manager, CRH Americas Materials Midwest Region",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-2872,4/2/19,3/29/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/29/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2872,,,
"Comment submitted by Barbara Weinstein, Director, Commission on Social Action of Reform Judaism, Religious Action Center of Reform Judaism",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5163,4/24/19,4/12/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/12/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5163,,,
"Comment submitted by Patricia Gerrodette, Board Member on behalf of Friends of the San Pedro River",PUBLIC SUBMISSIONS,N/A,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-10233,5/8/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-10233,,,
"Comment Meghan Boian, Legislative Associate,  Southern Environmental Law Center for Alabama Rivers Alliance, et al.",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-1525,3/19/19,3/13/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/8/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-1525,,,
"Comment submitted by American Littoral Society, et al.",PUBLIC SUBMISSIONS,2,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8145,5/1/19,4/18/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,"Other Commentators: American Rivers, American Sustainable Business Council, Appalachian Mountain Club, Aquashicola/ Pohopoco Watershed Conservanc, Aquetong Watershed Association, Brodhead Chapter #289 Trout Unlimited, Brodhead Watershed Association, Bucks County Audubon, Christina Conservancy, Inc., Citizens For Water, Citizens United to Protect the Maurice River and Its Tributaries, Damascus Citizens for Sustainability, Darby Creek Valley Association, Delaware Canal 21, Delaware Highlands Conservancy, Delaware Nature Society, Eastern PA Coalition for Abandoned Mine Reclamation, Environmental Justice Center at Chestnut Hill United Church, Environment New Jersey, Friends of Heinz Refuge, Friends for the Abbott Marshlands, Friends of the Upper Delaware River, GreenTreks Network, Inc., Guardians of the Brandywine, Lake Hopatcong Foundation, Lehigh River Stocking Association, Little Lehigh Chapter of Trout Unlimited, Musconetcong Watershed Association, National Wildlife Federation, New Jersey Audubon, New Jersey Conservation Foundation, New Jersey Environmental Lobby, New Jersey Future, New Jersey League of Conservation Voters, New York League of Conservation Voters, NYH2o, PennFuture, Pennypack Ecological Restoration Trust, Pinelands Preservation Alliance, Red Clay Valley Scenic Byway Alliance, Riverfront North Partnership, Penn Environment, PennFuture, Pennsylvania Council of Churches, Pocono Heritage Land Trust, Sierra Club, Pennsylvania Chapter, South Jersey Dragon Boat Club, The Land Conservancy of New Jersey, The Watershed Institute, Tobyhanna Creek/Tunkhannock Creek Watershed Association, Tookany/Tacony-Frankford Watershed Partnership, Inc., Upper Delaware Preservation Coalition, UrbanPromise Ministries, Watershed Coalition of the Lehigh Valley, Western Pocono Trout Unlimited, White Clay Watershed Association, Willistown Conservation Trust, Wissahickon Valley Watershed Association",Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8145,,,
"Comment submitted by Lynne D. Rockenbauch, President, The Severn River Association (SRA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-2167,3/25/19,3/18/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/18/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-2167,,,
Comment submitted by Oneida Nation,PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5320,4/24/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5320,,,
"Comment submitted by Emily W. Coyner, National Stone, Sand & Gravel Association (NSSGA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4541,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4541,,,
"Comment submitted by Kevin Walgenbach, Senior Vice President of Compliance and Regulatory Affairs, National Ready Mixed Concrete Association (NRMCA)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-8932,5/4/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-8932,,,
"Comment submitted by Patricia Valcarcel, The Wildlife Society Western Section and San Francisco Bay Area Chapter",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4447,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4447,,,
"Comment submitted by Lisa Hendriksen, Environmental Director, The Port of Longview",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5385,4/25/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5385,,,
"Comment submitted by Matthew Sarver, DOS Conservation Chair, The Delaware Ornithological Society (DOS)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4414,4/17/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4414,,,
"Comment submitted by Barbara A. Walz, Senior Vice President, Policy and Compliance, Chief Compliance Officer, Tri-State Generation and Transmission Association, Inc.",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4836,4/19/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4836,,,
"Comment submitted by Gray A. Jones, Director, EHS Affairs Specialty Graphic Imaging Association",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-4509,4/18/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-4509,,,
"Comment submitted by Steve Whitt, Director, Environmental Services, Martin Marietta, Inc. (MM)",PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5235,4/24/19,4/11/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/11/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5235,,,
Comment submitted by Cumberland County Farm Bureau,PUBLIC SUBMISSIONS,1,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5180,4/24/19,4/9/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/9/19,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5180,,,
"Comment submitted by Amber Coleman, LSS, PWS, President, North Carolina Association of Environmental Professionals (NCAEP)",PUBLIC SUBMISSIONS,19,N/A,N/A,N/A,EPA-HQ-OW-2018-0149-5435,4/25/19,4/15/19,N/A,N/A,N/A,N/A,N/A,Company/Organization Comment,N/A,N/A,Posted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/19,pdf,1,N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OW-2018-0149-5435,,,
